MatchName,StrikerName,BatClubName,Inns,overs,x,y,X,Y,BatRuns,batwkts,BattingType,PaceOrSpin,1s,2s,3s,4s,6s,BowlerType,WagonWheel,0s
AusvsNZ,Martin Guptill,New Zealand,1,0.1,214,360,74,528,0,0,RHB,1,0,0,0,0,0,2,6,1
AusvsNZ,Martin Guptill,New Zealand,1,0.2,231,331,120,753,4,0,RHB,1,0,0,0,1,0,2,15,
AusvsNZ,Martin Guptill,New Zealand,1,0.3,210,368,96,500,1,0,RHB,1,1,0,0,0,0,2,18,
AusvsNZ,Daryl Joseph Mitchell,New Zealand,1,0.4,305,383,175,589,0,0,RHB,1,0,0,0,0,0,2,8,1
AusvsNZ,Daryl Joseph Mitchell,New Zealand,1,0.5,330,331,218,779,3,0,RHB,1,0,0,1,0,0,2,21,
AusvsNZ,Martin Guptill,New Zealand,1,0.6,254,324,171,875,1,0,RHB,1,1,0,0,0,0,2,21,
AusvsNZ,Martin Guptill,New Zealand,1,1.1,312,302,131,875,0,0,RHB,1,0,0,0,0,0,1,6,1
AusvsNZ,Martin Guptill,New Zealand,1,1.2,284,307,120,841,0,0,RHB,1,0,0,0,0,0,1,24,1
AusvsNZ,Martin Guptill,New Zealand,1,1.3,318,317,147,828,0,0,RHB,1,0,0,0,0,0,1,11,1
AusvsNZ,Martin Guptill,New Zealand,1,1.4,259,309,113,800,0,0,RHB,1,0,0,0,0,0,1,9,1
AusvsNZ,Martin Guptill,New Zealand,1,1.5,323,287,152,916,4,0,RHB,1,0,0,0,1,0,1,14,
AusvsNZ,Martin Guptill,New Zealand,1,1.6,305,334,139,739,0,0,RHB,1,0,0,0,0,0,1,4,1
AusvsNZ,Daryl Joseph Mitchell,New Zealand,1,2.1,281,375,166,534,6,0,RHB,2,0,0,0,0,1,3,11,
AusvsNZ,Daryl Joseph Mitchell,New Zealand,1,2.2,319,361,166,603,1,0,RHB,2,1,0,0,0,0,3,1,
AusvsNZ,Martin Guptill,New Zealand,1,2.3,265,341,109,603,0,0,RHB,2,0,0,0,0,0,3,18,1
AusvsNZ,Martin Guptill,New Zealand,1,2.4,307,353,147,589,1,0,RHB,2,1,0,0,0,0,3,21,
AusvsNZ,Daryl Joseph Mitchell,New Zealand,1,2.5,294,341,145,603,1,0,RHB,2,1,0,0,0,0,3,11,
AusvsNZ,Martin Guptill,New Zealand,1,2.6,322,360,168,555,0,0,RHB,2,0,0,0,0,0,3,10,1
AusvsNZ,Martin Guptill,New Zealand,1,3.1,265,309,104,821,4,0,RHB,1,0,0,0,1,0,1,18,
AusvsNZ,Martin Guptill,New Zealand,1,3.2,304,381,169,589,1,0,RHB,1,1,0,0,0,0,1,18,
AusvsNZ,Daryl Joseph Mitchell,New Zealand,1,3.3,258,324,107,739,1,0,RHB,1,1,0,0,0,0,1,18,1
AusvsNZ,Daryl Joseph Mitchell,New Zealand,1,3.4,268,322,130,759,1,0,RHB,1,1,0,0,0,0,1,4,1
AusvsNZ,Daryl Joseph Mitchell,New Zealand,1,3.5,277,321,120,814,0,1,RHB,1,0,0,0,0,0,1,4,1
AusvsNZ,Kane Williamson,New Zealand,1,3.6,256,325,101,773,0,0,RHB,1,0,0,0,0,0,1,11,1
AusvsNZ,Martin Guptill,New Zealand,1,4.1,272,308,112,882,0,0,RHB,1,0,0,0,0,0,1,1,1
AusvsNZ,Martin Guptill,New Zealand,1,4.2,299,337,137,766,0,0,RHB,1,0,0,0,0,0,1,6,1
AusvsNZ,Martin Guptill,New Zealand,1,4.3,309,331,149,774,0,0,RHB,1,0,0,0,0,0,1,10,1
AusvsNZ,Martin Guptill,New Zealand,1,4.4,320,301,125,896,1,0,RHB,1,1,0,0,0,0,1,15,
AusvsNZ,Kane Williamson,New Zealand,1,4.5,307,291,107,875,1,0,RHB,1,1,0,0,0,0,1,21,
AusvsNZ,Martin Guptill,New Zealand,1,4.6,275,319,109,841,0,0,RHB,1,0,0,0,0,0,1,12,1
AusvsNZ,Kane Williamson,New Zealand,1,5.1,292,324,152,821,0,0,RHB,1,0,0,0,0,0,1,19,1
AusvsNZ,Kane Williamson,New Zealand,1,5.2,300,298,133,889,0,0,RHB,1,0,0,0,0,0,1,7,1
