MatchtypeId,CompName,date,matchid,battingclubid,overs,Phase3idStar,Phase3idStarPhrase,Phase4id,Phase4idPhrase,batruns,0s,1s,2s,3s,4s,6s,StrikerName,PaceorSpin,BowlingTypeGroup,Batwkts,LengthX,LengthY,HeightX,HeightY,StrikerBattingType,WWregion63,StrikerBattingType
3,AusvsNZ,18-06-2021,10213,5,3.6,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Kane Williamson,1,1,0,101,773,256,325,1,11,1
3,AusvsNZ,18-06-2021,10213,5,4.1,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Martin Guptill,1,1,0,112,882,272,308,1,1,1
3,AusvsNZ,18-06-2021,10213,5,4.2,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Martin Guptill,1,1,0,137,766,299,337,1,6,1
3,AusvsNZ,18-06-2021,10213,5,4.3,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Martin Guptill,1,1,0,149,774,309,331,1,10,1
3,AusvsNZ,18-06-2021,10213,5,4.4,1,1 to 6,1,1 to 6,1,,1,0,0,0,0,Martin Guptill,1,1,0,125,896,320,301,1,15,1
3,AusvsNZ,18-06-2021,10213,5,4.5,1,1 to 6,1,1 to 6,1,,1,0,0,0,0,Kane Williamson,1,1,0,107,875,307,291,1,21,1
3,AusvsNZ,18-06-2021,10213,5,4.6,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Martin Guptill,1,1,0,109,841,275,319,1,12,1
3,AusvsNZ,18-06-2021,10213,5,5.1,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Kane Williamson,1,1,0,152,821,292,324,1,19,1
3,AusvsNZ,18-06-2021,10213,5,5.2,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Kane Williamson,1,1,0,133,889,300,298,1,7,1
3,AusvsNZ,18-06-2021,10213,5,5.3,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Kane Williamson,1,1,0,104,794,265,320,1,11,1
3,AusvsNZ,18-06-2021,10213,5,5.4,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Kane Williamson,1,1,0,139,698,297,348,1,5,1
3,AusvsNZ,18-06-2021,10213,5,5.5,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Kane Williamson,1,1,0,149,696,289,337,1,1,1
3,AusvsNZ,18-06-2021,10213,5,5.6,1,1 to 6,1,1 to 6,2,,0,1,0,0,0,Kane Williamson,1,1,0,106,794,285,292,1,7,1
3,AusvsNZ,18-06-2021,10213,5,6.1,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Martin Guptill,2,3,0,172,405,294,388,1,1,1
3,AusvsNZ,18-06-2021,10213,5,6.2,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Kane Williamson,2,3,0,147,494,268,375,1,NULL,1
3,AusvsNZ,18-06-2021,10213,5,6.3,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Martin Guptill,2,3,0,193,554,304,362,1,6,1
3,AusvsNZ,18-06-2021,10213,5,6.4,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Martin Guptill,2,3,0,152,505,259,365,1,18,1
3,AusvsNZ,18-06-2021,10213,5,6.5,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Kane Williamson,2,3,0,177,574,304,341,1,18,1
3,AusvsNZ,18-06-2021,10213,5,6.6,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Martin Guptill,2,3,0,177,521,303,377,1,19,1
3,AusvsNZ,18-06-2021,10213,5,7.1,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Martin Guptill,2,5,0,169,486,293,384,1,13,1
3,AusvsNZ,18-06-2021,10213,5,7.2,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Kane Williamson,2,5,0,100,593,250,339,1,23,1
3,AusvsNZ,18-06-2021,10213,5,7.3,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Martin Guptill,2,5,0,155,540,281,368,1,21,1
3,AusvsNZ,18-06-2021,10213,5,7.4,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Martin Guptill,2,5,0,115,616,261,343,1,1,1
3,AusvsNZ,18-06-2021,10213,5,7.5,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Martin Guptill,2,5,0,118,616,268,336,1,18,1
3,AusvsNZ,18-06-2021,10213,5,7.6,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Kane Williamson,2,5,0,131,393,264,371,1,8,1
3,AusvsNZ,18-06-2021,10213,5,8.1,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Martin Guptill,1,1,0,109,582,264,374,1,23,1
3,AusvsNZ,18-06-2021,10213,5,8.2,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Kane Williamson,1,1,0,136,818,273,320,1,6,1
3,AusvsNZ,18-06-2021,10213,5,8.3,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Martin Guptill,1,1,0,125,875,281,307,1,11,1
3,AusvsNZ,18-06-2021,10213,5,8.4,2,7 to 15,2,7 to 10,4,,0,0,0,1,0,Kane Williamson,1,1,0,86,828,213,329,1,21,1
