StrikerName,BatRuns,WagonWheel
Martin Guptill,0,Third Man
Martin Guptill,4,Point
Martin Guptill,1,Point
Daryl Joseph Mitchell,0,Long On
Daryl Joseph Mitchell,3,Square Leg
Martin Guptill,1,Third Man
Martin Guptill,0,Long On
Martin Guptill,0,Covers
Martin Guptill,0,Mid Wicket
Martin Guptill,0,Long Off
Martin Guptill,4,Fine Leg
Martin Guptill,0,Long Off
Daryl Joseph Mitchell,6,Long On
Daryl Joseph Mitchell,1,Square Leg
Martin Guptill,0,Fine Leg
Martin Guptill,1,Long On
Daryl Joseph Mitchell,1,Square Leg
Martin Guptill,1,Square Leg
Martin Guptill,4,Point
Martin Guptill,1,Square Leg
Daryl Joseph Mitchell,0,Long Off
Daryl Joseph Mitchell,0,Long Off
Daryl Joseph Mitchell,0,Third Man
Kane Williamson,0,Point
Martin Guptill,0,Point
Martin Guptill,0,Covers
Martin Guptill,0,Long On
Martin Guptill,1,Square Leg
Kane Williamson,1,Mid Wicket
Martin Guptill,0,Point
Kane Williamson,0,Point
Kane Williamson,0,Long On
Kane Williamson,0,Covers
Kane Williamson,0,Point
Kane Williamson,0,Long Off
Kane Williamson,2,Mid Wicket
Martin Guptill,1,Long On
Kane Williamson,1,Long On
Martin Guptill,0,Long Off
Martin Guptill,1,Point
Kane Williamson,1,Long On
Martin Guptill,1,Long On
Martin Guptill,1,Long Off
Kane Williamson,1,Covers
Martin Guptill,0,Point
Martin Guptill,0,Long Off
Martin Guptill,1,Covers
Kane Williamson,0,Long Off
Martin Guptill,1,Long Off
Kane Williamson,1,Long Off
Martin Guptill,1,Mid Wicket
Kane Williamson,4,Covers
Kane Williamson,4,Mid Wicket
Kane Williamson,0,Point
Martin Guptill,1,Mid Wicket
Kane Williamson,1,Mid Wicket
Martin Guptill,1,Long Off
Kane Williamson,1,Long Off
Martin Guptill,1,Covers
Kane Williamson,1,Long Off
Kane Williamson,1,Long On
Martin Guptill,1,Long Off
Kane Williamson,2,Covers
Kane Williamson,4,Square Leg
Kane Williamson,4,Long Off
Kane Williamson,5,Mid Wicket
Kane Williamson,2,Point
Martin Guptill,0,Mid Wicket
Kane Williamson,0,Point
Kane Williamson,1,Mid Wicket
Glenn Phillips,1,Square Leg
Kane Williamson,2,Mid Wicket
Kane Williamson,1,Point
Kane Williamson,1,Third Man
Glenn Phillips,1,Mid Wicket
Kane Williamson,6,Mid Wicket
Kane Williamson,6,Mid Wicket
Kane Williamson,1,Third Man
Glenn Phillips,1,Point
Glenn Phillips,0,Covers
Glenn Phillips,0,Point
Glenn Phillips,1,Point
Kane Williamson,1,Point
Glenn Phillips,1,Point
Kane Williamson,2,Covers
Glenn Phillips,6,Long On
Glenn Phillips,0,Third Man
Glenn Phillips,1,Mid Wicket
Kane Williamson,1,Mid Wicket
Glenn Phillips,4,Covers
Glenn Phillips,0,Square Leg
Kane Williamson,4,Third Man
Kane Williamson,4,Third Man
Kane Williamson,6,Square Leg
Kane Williamson,0,Third Man
Kane Williamson,4,Point
Kane Williamson,4,Third Man
Glenn Phillips,1,Third Man
Glenn Phillips,1,Mid Wicket
Kane Williamson,1,Long On
Glenn Phillips,1,Square Leg
Kane Williamson,1,Fine Leg
Glenn Phillips,1,Square Leg
Kane Williamson,2,Square Leg
Glenn Phillips,0,Third Man
Glenn Phillips,0,Mid Wicket
Kane Williamson,4,Fine Leg
Kane Williamson,0,Third Man
Kane Williamson,0,Long Off
James Neesham,1,Fine Leg
James Neesham,1,Point
Tim Seifert,1,Point
James Neesham,6,Long Off
James Neesham,1,Long On
Tim Seifert,1,Long Off
James Neesham,1,Fine Leg
James Neesham,2,Mid Wicket
Tim Seifert,4,Square Leg
Tim Seifert,0,Third Man
Tim Seifert,1,Third Man
James Neesham,0,Fine Leg
James Neesham,2,Third Man
Tim Seifert,1,Mid Wicket
James Neesham,2,Long Off
David Warner,0,Point
David Warner,0,Mid Wicket
David Warner,1,Third Man
Aaron Finch,0,Covers
Aaron Finch,0,Third Man
Aaron Finch,0,Point
David Warner,0,Mid Wicket
David Warner,4,Covers
David Warner,4,Point
David Warner,0,Long On
David Warner,1,Mid Wicket
Aaron Finch,1,Fine Leg
Aaron Finch,0,Long Off
Aaron Finch,4,Long Off
Aaron Finch,0,Mid Wicket
David Warner,0,Square Leg
David Warner,0,Mid Wicket
David Warner,0,Point
Mitchell Marsh,6,Square Leg
Mitchell Marsh,4,Third Man
Mitchell Marsh,4,Mid Wicket
Mitchell Marsh,1,Long Off
David Warner,0,Covers
David Warner,0,Point
Mitchell Marsh,1,Square Leg
David Warner,1,Square Leg
Mitchell Marsh,0,Long Off
Mitchell Marsh,1,Mid Wicket
David Warner,6,Mid Wicket
David Warner,1,Point
David Warner,1,Square Leg
Mitchell Marsh,1,Square Leg
David Warner,0,Point
David Warner,0,Third Man
David Warner,1,Point
Mitchell Marsh,0,Point
David Warner,1,Long On
Mitchell Marsh,1,Long On
David Warner,2,Mid Wicket
David Warner,1,Long On
Mitchell Marsh,1,Covers
David Warner,1,Mid Wicket
David Warner,1,Covers
Mitchell Marsh,6,Square Leg
Mitchell Marsh,1,Square Leg
David Warner,1,Mid Wicket
Mitchell Marsh,0,Third Man
Mitchell Marsh,1,Long On
Mitchell Marsh,1,Covers
David Warner,4,Long On
David Warner,2,Covers
David Warner,0,Square Leg
David Warner,4,Mid Wicket
David Warner,6,Long On
Mitchell Marsh,1,Point
David Warner,2,Mid Wicket
David Warner,1,Long On
Mitchell Marsh,0,Fine Leg
Mitchell Marsh,0,Covers
Mitchell Marsh,1,Covers
Mitchell Marsh,6,Square Leg
Mitchell Marsh,0,Long Off
Mitchell Marsh,1,Mid Wicket
David Warner,6,Mid Wicket
David Warner,1,Mid Wicket
Mitchell Marsh,1,Covers
Mitchell Marsh,1,Covers
David Warner,1,Square Leg
Mitchell Marsh,1,Mid Wicket
David Warner,1,Fine Leg
Mitchell Marsh,4,Mid Wicket
Mitchell Marsh,1,Long On
Mitchell Marsh,1,Long Off
David Warner,0,NULL
Glenn Maxwell,0,Third Man
Glenn Maxwell,0,Mid Wicket
Glenn Maxwell,1,Covers
Mitchell Marsh,1,Long On
Mitchell Marsh,1,Third Man
Mitchell Marsh,6,Long On
Mitchell Marsh,2,Mid Wicket
Mitchell Marsh,4,Long On
Mitchell Marsh,1,Third Man
Mitchell Marsh,0,Third Man
Mitchell Marsh,1,Third Man
Mitchell Marsh,0,Covers
Mitchell Marsh,1,Covers
Mitchell Marsh,0,Long Off
Mitchell Marsh,1,Square Leg
Glenn Maxwell,4,Square Leg
Glenn Maxwell,4,Third Man
Glenn Maxwell,0,Fine Leg
Glenn Maxwell,1,Third Man
Glenn Maxwell,1,Covers
Glenn Maxwell,4,Fine Leg
