MatchtypeId,CompName,date,matchid,battingclubid,overs,Phase3idStar,Phase3idStarPhrase,Phase4id,Phase4idPhrase,batruns,0s,1s,2s,3s,4s,6s,StrikerName,PaceorSpin,BowlingTypeGroup,Batwkts,LengthX,LengthY,HeightX,HeightY,StrikerBattingType,WWregion63,StrikerBattingType
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,0.1,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Sehaj Dhawan,1,1,0,113,768,269,299,1,15,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,0.2,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Sehaj Dhawan,1,1,0,91,719,217,314,1,8,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,0.3,1,1 to 6,1,1 to 6,4,0,0,0,0,1,0,Sehaj Dhawan,1,1,0,109,757,243,294,1,21,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,0.4,1,1 to 6,1,1 to 6,6,0,0,0,0,0,1,Sehaj Dhawan,1,1,0,183,210,259,300,1,24,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,0.5,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Sehaj Dhawan,1,1,0,189,697,328,349,1,9,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,0.6,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Sehaj Dhawan,1,1,0,140,736,283,312,1,4,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,1.1,1,1 to 6,1,1 to 6,0,0,0,0,0,0,0,Abhishek Sharma,1,1,0,308,407,416,386,2,1,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,1.1,1,1 to 6,1,1 to 6,4,0,0,0,0,1,0,Abhishek Sharma,1,1,0,285,253,390,401,2,18,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,1.2,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Abhishek Sharma,1,1,0,188,659,328,339,2,11,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,1.3,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Abhishek Sharma,1,1,0,202,719,369,320,2,18,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,1.4,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Sehaj Dhawan,1,1,0,197,67,323,377,1,18,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,1.5,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Abhishek Sharma,1,1,0,189,270,310,402,2,4,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,1.6,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Abhishek Sharma,1,1,0,223,653,380,325,2,1,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,2.1,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Sehaj Dhawan,2,3,0,115,500,262,368,1,10,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,2.2,1,1 to 6,1,1 to 6,6,0,0,0,0,0,1,Abhishek Sharma,2,3,0,177,527,299,390,2,21,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,2.3,1,1 to 6,1,1 to 6,4,0,0,0,0,1,0,Abhishek Sharma,2,3,0,207,357,326,388,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,2.4,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Abhishek Sharma,2,3,0,178,544,285,390,2,11,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,2.5,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Sehaj Dhawan,2,3,0,91,555,225,336,1,1,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,2.6,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Sehaj Dhawan,2,3,0,82,374,200,381,1,1,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,3.1,1,1 to 6,1,1 to 6,4,0,0,0,0,1,0,Abhishek Sharma,1,1,0,197,730,381,320,2,18,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,3.2,1,1 to 6,1,1 to 6,4,0,0,0,0,1,0,Abhishek Sharma,1,1,0,197,708,350,322,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,3.3,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Abhishek Sharma,1,1,0,NULL,NULL,0,0,2,23,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,3.4,1,1 to 6,1,1 to 6,0,0,0,0,0,0,0,Sehaj Dhawan,1,1,0,221,264,362,413,1,1,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,3.4,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Sehaj Dhawan,1,1,0,147,637,280,342,1,18,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,3.5,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Abhishek Sharma,1,1,0,NULL,NULL,0,0,2,23,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,3.6,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Sehaj Dhawan,1,1,0,161,516,296,356,1,11,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,4.1,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Sehaj Dhawan,1,1,1,161,407,291,381,1,19,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,4.2,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Mandeep Singh,1,1,0,172,631,313,347,1,19,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,4.3,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Abhishek Sharma,1,1,0,174,653,340,328,2,18,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,4.4,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Mandeep Singh,1,1,0,145,763,294,294,1,8,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,4.5,1,1 to 6,1,1 to 6,2,0,0,1,0,0,0,Mandeep Singh,1,1,0,186,412,308,382,1,18,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,4.5,1,1 to 6,1,1 to 6,0,0,0,0,0,0,0,Mandeep Singh,1,1,0,192,566,373,376,1,1,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,4.6,1,1 to 6,1,1 to 6,4,0,0,0,0,1,0,Mandeep Singh,1,1,0,158,845,302,298,1,18,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,5.1,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Abhishek Sharma,2,4,0,177,330,296,399,2,22,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,5.2,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Mandeep Singh,2,4,1,170,599,280,317,1,5,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,5.3,1,1 to 6,1,1 to 6,0,1,0,0,0,0,0,Aryan Anil Bhatia,2,4,0,159,555,283,345,1,15,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,5.4,1,1 to 6,1,1 to 6,1,0,1,0,0,0,0,Aryan Anil Bhatia,2,4,0,175,582,302,356,1,10,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,5.5,1,1 to 6,1,1 to 6,0,0,0,0,0,0,0,Abhishek Sharma,2,4,0,146,401,259,397,2,8,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,5.5,1,1 to 6,1,1 to 6,4,0,0,0,0,1,0,Abhishek Sharma,2,4,0,192,489,315,389,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,5.6,1,1 to 6,1,1 to 6,6,0,0,0,0,0,1,Abhishek Sharma,2,4,0,198,379,323,399,2,21,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,6.1,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Aryan Anil Bhatia,1,1,0,123,785,265,315,1,19,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,6.2,2,7 to 15,2,7 to 10,4,0,0,0,0,1,0,Abhishek Sharma,1,1,0,187,725,338,320,2,17,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,6.3,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Abhishek Sharma,1,1,0,174,889,340,294,2,11,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,6.4,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Aryan Anil Bhatia,1,1,0,154,670,290,347,1,11,1
